UserID,UserName,Age,AgeGroup,Gender,Email,TotalEnrollments,TotalSpend,FavoriteCategory,DominantLevel,FreeCoursesTaken,PaidCoursesTaken,FirstEnrollmentDate,LastEnrollmentDate,ActivityTier
U00034,ilopez,32,26–35,Female,scottwatts@yahoo.com,2,248.1,Artificial Intelligence,Beginner,1,1,2025-04-20,2025-07-02,Moderate (2-3)
U00035,chernandez,32,26–35,Male,bryangilbert@yahoo.com,1,0.78,Machine Learning,Advanced,0,1,2025-05-17,2025-05-17,Single-Course (1)
U00036,coxmichael,24,18–25,Female,leonardkimberly@hotmail.com,1,0.0,Programming,Beginner,1,0,2025-11-01,2025-11-01,Single-Course (1)
U00037,lisabraun,31,26–35,Female,ericbrown@hotmail.com,2,0.0,Cybersecurity,Advanced,2,0,2025-02-28,2025-11-12,Moderate (2-3)
U00038,williamselizabeth,35,26–35,Male,kpham@gmail.com,1,0.0,Cybersecurity,Intermediate,1,0,2025-08-24,2025-08-24,Single-Course (1)
U00039,blackdanielle,16,<18,Female,michaelfrederick@yahoo.com,1,346.71,Project Management,Advanced,0,1,2025-03-01,2025-03-01,Single-Course (1)
U00040,briannamurphy,15,<18,Male,ohobbs@gmail.com,1,0.0,Programming,Beginner,1,0,2025-05-13,2025-05-13,Single-Course (1)
U00041,april65,19,18–25,Female,imccarthy@yahoo.com,2,326.02,Business,Beginner,1,1,2025-05-28,2025-06-10,Moderate (2-3)
U00042,christopher62,32,26–35,Male,patrickterrance@outlook.com,1,89.59,Artificial Intelligence,Intermediate,0,1,2025-10-27,2025-10-27,Single-Course (1)
U00043,tommy21,31,26–35,Male,gordonhenry@hotmail.com,1,327.99,Project Management,Beginner,0,1,2025-08-29,2025-08-29,Single-Course (1)
U00044,rileyapril,19,18–25,Male,wagnermichael@hotmail.com,1,299.57,Data Science,Beginner,0,1,2025-05-19,2025-05-19,Single-Course (1)
U00045,rodneystevens,23,18–25,Female,mitchellwilliam@yahoo.com,14,1209.79,Project Management,Beginner,9,5,2025-01-05,2025-12-06,Power Learner (8+)
U00046,usimpson,29,26–35,Female,hmarquez@hotmail.com,2,0.0,Design,Beginner,2,0,2025-05-22,2025-11-25,Moderate (2-3)
U00047,westbrian,34,26–35,Male,lclark@outlook.com,1,0.0,Data Science,Intermediate,1,0,2025-09-05,2025-09-05,Single-Course (1)
U00048,willie71,19,18–25,Male,zgarza@hotmail.com,13,356.89,Design,Beginner,11,2,2025-01-17,2025-11-19,Power Learner (8+)
U00049,nclark,32,26–35,Male,thomaskenneth@gmail.com,1,0.0,Project Management,Intermediate,1,0,2025-04-29,2025-04-29,Single-Course (1)
U00050,rewing,33,26–35,Male,syoung@gmail.com,1,0.0,Design,Advanced,1,0,2025-08-14,2025-08-14,Single-Course (1)
U00051,crystal12,32,26–35,Female,bonnie35@gmail.com,1,0.0,Design,Beginner,1,0,2025-07-25,2025-07-25,Single-Course (1)
U00052,daniel48,25,18–25,Female,tweber@gmail.com,1,0.78,Machine Learning,Advanced,0,1,2025-09-15,2025-09-15,Single-Course (1)
U00053,tara07,34,26–35,Female,bergertimothy@hotmail.com,1,53.86,Finance,Beginner,0,1,2025-12-18,2025-12-18,Single-Course (1)
U00054,jessicaparker,22,18–25,Female,rosslindsey@hotmail.com,1,490.9,Artificial Intelligence,Beginner,0,1,2025-03-12,2025-03-12,Single-Course (1)
U00055,hallandrea,31,26–35,Female,michelle73@gmail.com,16,1448.2499999999998,Design,Advanced,10,6,2025-01-09,2025-12-16,Power Learner (8+)
U00056,vcrawford,22,18–25,Female,markfinley@gmail.com,2,0.0,Design,Beginner,2,0,2025-06-08,2025-08-09,Moderate (2-3)
U00057,thomasrobin,18,18–25,Male,cedwards@yahoo.com,1,487.92,Business,Advanced,0,1,2025-06-10,2025-06-10,Single-Course (1)
U00058,egomez,30,26–35,Female,jimmymurphy@outlook.com,1,117.68,Data Science,Advanced,0,1,2025-04-10,2025-04-10,Single-Course (1)
U00059,elizabeth16,32,26–35,Male,andersonmadison@gmail.com,1,0.0,Design,Beginner,1,0,2025-08-21,2025-08-21,Single-Course (1)
U00060,albert28,26,26–35,Male,stephanie43@yahoo.com,4,53.86,Finance,Beginner,3,1,2025-08-13,2025-12-01,Active (4-7)
U00061,vincent12,32,26–35,Female,yscott@outlook.com,1,0.0,Cybersecurity,Intermediate,1,0,2025-05-05,2025-05-05,Single-Course (1)
U00062,howenathaniel,28,26–35,Female,tbrown@yahoo.com,1,0.0,Programming,Beginner,1,0,2025-11-26,2025-11-26,Single-Course (1)
U00063,lisawong,34,26–35,Female,denise33@outlook.com,2,299.57,Data Science,Beginner,1,1,2025-01-22,2025-02-03,Moderate (2-3)
U00064,donnabarker,33,26–35,Female,gellis@yahoo.com,1,276.37,Design,Advanced,0,1,2025-09-08,2025-09-08,Single-Course (1)
U00065,michaelcurtis,29,26–35,Male,brownrobert@hotmail.com,1,0.0,Web Development,Advanced,1,0,2025-01-15,2025-01-15,Single-Course (1)
U00066,wwest,26,26–35,Female,gomezkatherine@gmail.com,1,327.99,Project Management,Beginner,0,1,2025-04-12,2025-04-12,Single-Course (1)
U00067,jessica24,28,26–35,Female,gardnerjohnny@hotmail.com,1,119.04,Finance,Intermediate,0,1,2025-11-06,2025-11-06,Single-Course (1)
U00068,marshmichelle,32,26–35,Male,mcoleman@outlook.com,1,0.0,Project Management,Intermediate,1,0,2025-03-29,2025-03-29,Single-Course (1)
U00069,gainesandrew,27,26–35,Female,woodashley@outlook.com,2,0.0,Design,Intermediate,2,0,2025-02-16,2025-08-24,Moderate (2-3)
U00070,mgonzales,25,18–25,Female,vwang@gmail.com,2,0.0,Digital Marketing,Intermediate,2,0,2025-05-11,2025-10-12,Moderate (2-3)
U00071,kevin94,30,26–35,Female,gonzalezchristine@hotmail.com,14,641.94,Programming,Beginner,11,3,2025-01-19,2025-11-16,Power Learner (8+)
U00072,hallanthony,17,<18,Female,sharon51@hotmail.com,1,326.02,Business,Intermediate,0,1,2025-04-16,2025-04-16,Single-Course (1)
U00073,katie83,16,<18,Male,lydia56@gmail.com,1,0.78,Machine Learning,Advanced,0,1,2025-06-23,2025-06-23,Single-Course (1)
U00074,nunezapril,19,18–25,Male,hancocksteven@hotmail.com,3,963.18,Programming,Beginner,1,2,2025-06-04,2025-11-13,Moderate (2-3)
U00075,hfarley,22,18–25,Male,torresshawn@hotmail.com,1,0.0,Design,Advanced,1,0,2025-11-12,2025-11-12,Single-Course (1)
U00076,justinwatkins,34,26–35,Male,amyanderson@hotmail.com,4,472.28,Business,Beginner,3,1,2025-07-11,2025-12-29,Active (4-7)
U00077,shannon49,20,18–25,Male,shane75@yahoo.com,1,0.0,Marketing,Intermediate,1,0,2025-08-30,2025-08-30,Single-Course (1)
U00078,ahouston,32,26–35,Female,ashleywalker@outlook.com,1,0.0,Marketing,Intermediate,1,0,2025-04-09,2025-04-09,Single-Course (1)
U00079,aburke,28,26–35,Male,stoutdylan@outlook.com,1,0.0,Cybersecurity,Beginner,1,0,2025-10-04,2025-10-04,Single-Course (1)
U00080,mortonandrew,35,26–35,Female,cindycox@yahoo.com,1,0.0,Programming,Beginner,1,0,2025-05-21,2025-05-21,Single-Course (1)
U00081,smithdanny,18,18–25,Female,martinrhonda@yahoo.com,1,0.0,Design,Advanced,1,0,2025-07-09,2025-07-09,Single-Course (1)
U00082,susankidd,31,26–35,Male,jasonhicks@yahoo.com,1,0.0,Project Management,Beginner,1,0,2025-06-30,2025-06-30,Single-Course (1)
U00083,james92,16,<18,Male,kconrad@gmail.com,15,1661.3,Artificial Intelligence,Intermediate,7,8,2025-01-06,2025-12-08,Power Learner (8+)
U00084,xperez,20,18–25,Male,ericafrank@yahoo.com,1,327.99,Project Management,Beginner,0,1,2025-02-11,2025-02-11,Single-Course (1)
U00085,scottluna,22,18–25,Female,adam86@yahoo.com,13,1149.12,Cybersecurity,Beginner,9,4,2025-01-01,2025-12-30,Power Learner (8+)
U00086,nicole62,27,26–35,Female,anewton@yahoo.com,4,53.86,Business,Advanced,3,1,2025-06-13,2025-11-21,Active (4-7)
U00087,sjoseph,19,18–25,Female,jacqueline74@yahoo.com,3,0.0,Machine Learning,Intermediate,3,0,2025-05-29,2025-09-02,Moderate (2-3)
U00088,tgarcia,23,18–25,Male,debrawilson@yahoo.com,1,0.0,Artificial Intelligence,Beginner,1,0,2025-01-26,2025-01-26,Single-Course (1)
U00089,austinspears,30,26–35,Male,browningjennifer@hotmail.com,1,0.0,Machine Learning,Intermediate,1,0,2025-05-16,2025-05-16,Single-Course (1)
U00090,sethchavez,34,26–35,Male,teresa45@outlook.com,1,0.0,Project Management,Intermediate,1,0,2025-11-17,2025-11-17,Single-Course (1)
U00091,joseph88,35,26–35,Male,owenspatricia@gmail.com,1,0.0,Finance,Beginner,1,0,2025-10-30,2025-10-30,Single-Course (1)
U00092,carl44,31,26–35,Male,sabrina47@yahoo.com,4,594.81,Artificial Intelligence,Beginner,2,2,2025-06-02,2025-08-29,Active (4-7)
U00093,sextonelizabeth,16,<18,Male,thomas52@gmail.com,1,285.05,Business,Beginner,0,1,2025-06-23,2025-06-23,Single-Course (1)
U00094,qtaylor,27,26–35,Male,vasquezdavid@yahoo.com,1,299.57,Data Science,Beginner,0,1,2025-02-11,2025-02-11,Single-Course (1)
U00095,ojohnson,20,18–25,Male,chloe04@yahoo.com,1,248.1,Artificial Intelligence,Beginner,0,1,2025-06-06,2025-06-06,Single-Course (1)
U00096,wesley99,34,26–35,Female,xdavis@hotmail.com,4,0.0,Machine Learning,Beginner,4,0,2025-05-23,2025-11-27,Active (4-7)
U00097,donnawilliams,25,18–25,Male,guzmanchristine@gmail.com,2,0.0,Cybersecurity,Advanced,2,0,2025-07-07,2025-07-10,Moderate (2-3)
U00098,sarah43,31,26–35,Male,natasha16@yahoo.com,1,0.0,Design,Advanced,1,0,2025-05-26,2025-05-26,Single-Course (1)
U00099,wharrison,29,26–35,Female,robertsshawn@yahoo.com,1,299.57,Data Science,Beginner,0,1,2025-08-22,2025-08-22,Single-Course (1)
U00100,swallace,32,26–35,Female,douglascampbell@outlook.com,1,0.0,Digital Marketing,Beginner,1,0,2025-09-21,2025-09-21,Single-Course (1)
U00101,rosejames,15,<18,Female,wilcoxrita@yahoo.com,1,89.59,Artificial Intelligence,Intermediate,0,1,2025-03-07,2025-03-07,Single-Course (1)
U00102,vweiss,32,26–35,Male,cherylking@yahoo.com,1,299.57,Data Science,Beginner,0,1,2025-10-01,2025-10-01,Single-Course (1)
U00103,felicia29,30,26–35,Female,ssims@hotmail.com,1,0.0,Business,Advanced,1,0,2025-02-16,2025-02-16,Single-Course (1)
U00104,diazsara,19,18–25,Male,mosschad@yahoo.com,1,53.86,Finance,Beginner,0,1,2025-10-29,2025-10-29,Single-Course (1)
U00105,smithjacqueline,27,26–35,Male,robinfranklin@outlook.com,1,299.57,Data Science,Beginner,0,1,2025-07-21,2025-07-21,Single-Course (1)
U00106,sharonmurphy,19,18–25,Male,cathy60@yahoo.com,2,57.32,Digital Marketing,Beginner,1,1,2025-10-22,2025-12-01,Moderate (2-3)
U00107,hayley84,18,18–25,Female,wwood@hotmail.com,1,0.0,Programming,Beginner,1,0,2025-07-26,2025-07-26,Single-Course (1)
U00108,jowen,32,26–35,Male,jasonjordan@yahoo.com,2,0.0,Design,Beginner,2,0,2025-01-04,2025-08-16,Moderate (2-3)
U00109,amyschmidt,15,<18,Female,alicia06@yahoo.com,14,869.77,Data Science,Beginner,11,3,2025-02-11,2025-12-10,Power Learner (8+)
U00110,thorntondaniel,26,26–35,Female,kellywilson@hotmail.com,1,487.92,Business,Advanced,0,1,2025-12-05,2025-12-05,Single-Course (1)
U00111,cynthia90,24,18–25,Male,kayla61@outlook.com,1,0.0,Digital Marketing,Beginner,1,0,2025-06-28,2025-06-28,Single-Course (1)
U00112,williamswilliam,34,26–35,Female,qmiller@yahoo.com,14,565.8,Data Science,Beginner,11,3,2025-02-22,2025-12-26,Power Learner (8+)
U00113,becky55,19,18–25,Male,lclark@hotmail.com,1,346.71,Project Management,Advanced,0,1,2025-04-14,2025-04-14,Single-Course (1)
U00114,lvasquez,22,18–25,Female,markwilliams@hotmail.com,1,0.0,Cybersecurity,Advanced,1,0,2025-02-22,2025-02-22,Single-Course (1)
U00115,mitchellswanson,32,26–35,Female,danielmathews@hotmail.com,1,0.0,Machine Learning,Intermediate,1,0,2025-08-02,2025-08-02,Single-Course (1)
U00116,schultzaustin,31,26–35,Male,psmith@outlook.com,1,0.0,Design,Advanced,1,0,2025-04-27,2025-04-27,Single-Course (1)
U00117,kristin26,19,18–25,Female,megan10@gmail.com,13,1885.87,Cybersecurity,Beginner,6,7,2025-03-20,2025-12-05,Power Learner (8+)
U00118,morankevin,28,26–35,Female,marquezwilliam@hotmail.com,1,0.0,Business,Advanced,1,0,2025-03-12,2025-03-12,Single-Course (1)
U00119,phillipsrobert,28,26–35,Male,wlee@yahoo.com,1,57.32,Web Development,Advanced,0,1,2025-06-11,2025-06-11,Single-Course (1)
U00120,faguilar,15,<18,Male,ashley54@gmail.com,2,415.51,Artificial Intelligence,Beginner,1,1,2025-03-06,2025-04-09,Moderate (2-3)
U00121,htanner,27,26–35,Female,donaldbrennan@hotmail.com,2,328.77,Machine Learning,Beginner,0,2,2025-06-08,2025-11-22,Moderate (2-3)
U00122,derekgreer,21,18–25,Female,elizabeth42@gmail.com,2,0.0,Digital Marketing,Beginner,2,0,2025-02-02,2025-10-24,Moderate (2-3)
U00123,richardsonjames,18,18–25,Female,dillonleslie@outlook.com,2,356.89,Data Science,Beginner,0,2,2025-05-02,2025-10-21,Moderate (2-3)
U00124,christinagilbert,19,18–25,Female,brendanaustin@yahoo.com,2,460.49,Artificial Intelligence,Beginner,0,2,2025-02-28,2025-09-07,Moderate (2-3)
U00125,michelle70,35,26–35,Female,simsbruce@yahoo.com,2,326.02,Business,Intermediate,1,1,2025-03-06,2025-03-21,Moderate (2-3)
U00126,zhall,23,18–25,Female,juliecervantes@yahoo.com,14,1084.57,Digital Marketing,Beginner,9,5,2025-01-06,2025-12-14,Power Learner (8+)
U00127,brian60,34,26–35,Female,annablair@hotmail.com,3,903.4300000000001,Artificial Intelligence,Advanced,1,2,2025-06-08,2025-10-11,Moderate (2-3)
U00128,misty15,35,26–35,Female,thomasharris@yahoo.com,13,1813.6499999999999,Artificial Intelligence,Beginner,7,6,2025-01-03,2025-12-10,Power Learner (8+)
U00129,sabrinawilson,19,18–25,Male,alvaradokevin@gmail.com,2,415.51,Artificial Intelligence,Intermediate,1,1,2025-01-23,2025-03-19,Moderate (2-3)
U00130,eherring,17,<18,Male,joshua83@yahoo.com,1,248.1,Artificial Intelligence,Beginner,0,1,2025-01-16,2025-01-16,Single-Course (1)
U00131,chelsea48,19,18–25,Male,stephaniedougherty@gmail.com,1,0.0,Business,Advanced,1,0,2025-10-24,2025-10-24,Single-Course (1)
U00132,kathysharp,22,18–25,Male,sean85@yahoo.com,1,0.0,Machine Learning,Beginner,1,0,2025-10-21,2025-10-21,Single-Course (1)
U00133,mccarthyscott,21,18–25,Male,raymondthomas@gmail.com,14,828.33,Marketing,Beginner,9,5,2025-02-28,2025-12-30,Power Learner (8+)
U00134,syoung,26,26–35,Female,kroy@gmail.com,14,1438.21,Finance,Advanced,7,7,2025-01-28,2025-12-30,Power Learner (8+)
U00135,josephmichael,17,<18,Female,clarknicholas@gmail.com,1,0.0,Data Science,Intermediate,1,0,2025-07-07,2025-07-07,Single-Course (1)
U00136,millerleslie,25,18–25,Female,william31@gmail.com,1,0.0,Business,Advanced,1,0,2025-03-23,2025-03-23,Single-Course (1)
U00137,lawrencesanchez,15,<18,Female,donaldtaylor@outlook.com,2,460.29,Data Science,Intermediate,0,2,2025-09-10,2025-12-28,Moderate (2-3)
U00138,sarafuentes,26,26–35,Male,ugonzales@gmail.com,2,0.0,Design,Beginner,2,0,2025-01-21,2025-08-11,Moderate (2-3)
U00139,qharrell,16,<18,Female,daniel87@yahoo.com,4,248.1,Artificial Intelligence,Beginner,3,1,2025-01-05,2025-11-13,Active (4-7)
U00140,william81,24,18–25,Female,ewalker@hotmail.com,2,53.86,Digital Marketing,Beginner,1,1,2025-02-19,2025-03-26,Moderate (2-3)
U00141,jenkinswilliam,20,18–25,Male,nicolerodriguez@gmail.com,1,0.0,Programming,Beginner,1,0,2025-02-06,2025-02-06,Single-Course (1)
U00142,brian08,17,<18,Female,stephenhenry@gmail.com,1,472.28,Programming,Beginner,0,1,2025-01-20,2025-01-20,Single-Course (1)
U00143,sherri37,26,26–35,Male,lopezbrian@outlook.com,2,177.34,Cybersecurity,Beginner,1,1,2025-05-09,2025-07-16,Moderate (2-3)
U00144,rodgerspaul,24,18–25,Female,amy66@hotmail.com,13,953.6700000000001,Finance,Intermediate,10,3,2025-01-11,2025-12-28,Power Learner (8+)
U00145,shawnbrown,23,18–25,Female,amandasingh@yahoo.com,1,0.0,Cybersecurity,Beginner,1,0,2025-02-26,2025-02-26,Single-Course (1)
U00146,ihernandez,30,26–35,Female,rgarcia@outlook.com,1,0.0,Digital Marketing,Beginner,1,0,2025-11-18,2025-11-18,Single-Course (1)
U00147,patricklaura,30,26–35,Male,barbarapatterson@yahoo.com,12,1195.6799999999998,Data Science,Beginner,8,4,2025-02-06,2025-12-29,Power Learner (8+)
U00148,andersenmichael,35,26–35,Female,rsmith@outlook.com,1,0.0,Data Science,Intermediate,1,0,2025-02-05,2025-02-05,Single-Course (1)
U00149,jacksonanthony,17,<18,Female,yspencer@gmail.com,10,906.41,Artificial Intelligence,Advanced,8,2,2025-01-20,2025-12-06,Power Learner (8+)
U00150,nsmith,25,18–25,Male,zjefferson@gmail.com,2,0.0,Cybersecurity,Intermediate,2,0,2025-09-26,2025-12-06,Moderate (2-3)
U00151,johnjohnson,16,<18,Female,heathrodney@hotmail.com,1,0.0,Digital Marketing,Beginner,1,0,2025-02-27,2025-02-27,Single-Course (1)
U00152,hhill,19,18–25,Female,keith03@outlook.com,12,1368.9199999999998,Cybersecurity,Beginner,7,5,2025-01-19,2025-12-29,Power Learner (8+)
U00153,scottgilbert,35,26–35,Male,sextondillon@yahoo.com,2,37.89,Programming,Beginner,1,1,2025-02-21,2025-12-16,Moderate (2-3)
U00154,jessicabailey,29,26–35,Male,colleen99@outlook.com,1,248.1,Artificial Intelligence,Beginner,0,1,2025-02-24,2025-02-24,Single-Course (1)
U00155,browningstephanie,27,26–35,Male,cindy51@gmail.com,2,0.0,Finance,Beginner,2,0,2025-01-19,2025-05-19,Moderate (2-3)
U00156,phill,17,<18,Male,natalie68@outlook.com,1,0.0,Finance,Advanced,1,0,2025-02-13,2025-02-13,Single-Course (1)
U00157,derek60,32,26–35,Female,dhall@hotmail.com,2,212.39,Cybersecurity,Intermediate,1,1,2025-05-07,2025-12-18,Moderate (2-3)
U00158,nicholas56,35,26–35,Female,lisa06@yahoo.com,1,0.0,Programming,Beginner,1,0,2025-05-24,2025-05-24,Single-Course (1)
U00159,rodriguezraymond,16,<18,Male,richardsonwilliam@yahoo.com,2,53.86,Finance,Beginner,1,1,2025-03-09,2025-04-16,Moderate (2-3)
U00160,kingspencer,28,26–35,Female,gillvalerie@yahoo.com,1,327.99,Project Management,Beginner,0,1,2025-12-16,2025-12-16,Single-Course (1)
U00161,lawrence17,25,18–25,Female,tstone@outlook.com,11,605.6,Business,Advanced,9,2,2025-01-30,2025-12-28,Power Learner (8+)
U00162,charlesayala,26,26–35,Male,kmyers@gmail.com,1,0.0,Finance,Advanced,1,0,2025-05-01,2025-05-01,Single-Course (1)
U00163,clinejacqueline,32,26–35,Female,johnsonshelly@hotmail.com,1,0.0,Project Management,Intermediate,1,0,2025-07-20,2025-07-20,Single-Course (1)
U00164,james63,32,26–35,Male,jessica46@outlook.com,2,0.0,Machine Learning,Intermediate,2,0,2025-05-15,2025-09-11,Moderate (2-3)
U00165,wcarroll,30,26–35,Male,angela19@hotmail.com,4,419.82000000000005,Artificial Intelligence,Intermediate,1,3,2025-03-23,2025-07-25,Active (4-7)
U00166,campbellkelsey,33,26–35,Male,hinesjoshua@gmail.com,15,248.88,Machine Learning,Intermediate,13,2,2025-01-03,2025-12-11,Power Learner (8+)
U00167,rogersjohn,31,26–35,Female,jonathan94@hotmail.com,1,0.0,Cybersecurity,Beginner,1,0,2025-11-16,2025-11-16,Single-Course (1)
U00168,gillespiekimberly,24,18–25,Female,michael38@outlook.com,1,326.02,Business,Intermediate,0,1,2025-09-20,2025-09-20,Single-Course (1)
U00169,vasquezjohn,24,18–25,Male,youngmaurice@yahoo.com,13,567.16,Design,Advanced,10,3,2025-02-15,2025-12-16,Power Learner (8+)
U00170,millerdavid,34,26–35,Female,mark06@hotmail.com,3,0.0,Programming,Beginner,3,0,2025-02-15,2025-08-09,Moderate (2-3)
U00171,egardner,24,18–25,Male,obrienmolly@outlook.com,2,0.0,Project Management,Beginner,2,0,2025-06-24,2025-09-29,Moderate (2-3)
U00172,nglass,35,26–35,Female,charleshernandez@hotmail.com,1,0.0,Machine Learning,Intermediate,1,0,2025-11-07,2025-11-07,Single-Course (1)
U00173,fernando38,31,26–35,Male,patriciagarcia@gmail.com,14,1094.82,Artificial Intelligence,Beginner,11,3,2025-01-21,2025-12-12,Power Learner (8+)
U00174,michelle60,29,26–35,Male,sgriffith@yahoo.com,1,212.39,Digital Marketing,Advanced,0,1,2025-12-26,2025-12-26,Single-Course (1)
U00175,xlambert,32,26–35,Female,leonardlisa@gmail.com,2,490.9,Artificial Intelligence,Beginner,1,1,2025-01-01,2025-10-07,Moderate (2-3)
U00176,gary81,34,26–35,Male,jameshartman@hotmail.com,1,0.0,Project Management,Beginner,1,0,2025-07-27,2025-07-27,Single-Course (1)
U00177,torreschristine,29,26–35,Female,adriana95@yahoo.com,14,1526.5399999999997,Finance,Beginner,7,7,2025-03-06,2025-12-05,Power Learner (8+)
U00178,gonzaleslisa,20,18–25,Male,robertspencer@outlook.com,14,236.72000000000003,Data Science,Beginner,12,2,2025-02-08,2025-11-14,Power Learner (8+)
U00179,mariaavila,34,26–35,Male,tpineda@outlook.com,2,487.92,Business,Intermediate,1,1,2025-08-27,2025-11-18,Moderate (2-3)
U00180,xglenn,26,26–35,Female,bruce16@hotmail.com,1,0.0,Machine Learning,Intermediate,1,0,2025-09-26,2025-09-26,Single-Course (1)
U00181,stephanie98,32,26–35,Female,angela26@yahoo.com,1,299.57,Data Science,Beginner,0,1,2025-11-06,2025-11-06,Single-Course (1)
